OrderMonth TotalSales            totalpurchases
---------- --------------------- ---------------------
2011-12-01 1019635.6747          7254.3006
2012-01-01 3622013.9215          220767.0679
2012-02-01 1141791.6116          7610.834
2012-03-01 2441839.1531          218226.7469
2012-04-01 1341386.2938          2496.2083
2012-05-01 2259194.0397          5744.3167
2012-06-01 3527254.7224          107628.3985
2012-07-01 2560587.9382          234.7418
2012-08-01 1534278.5579          14737.7394
2012-09-01 2903851.4579          3485.3792
2012-10-01 1929306.8709          56772.6685
2013-02-01 1648681.5694          964.2721
2013-04-01 2007181.4427          146494.2673
2013-05-01 2561324.9696          445656.9099
2013-06-01 4507750.5455          305.575
2013-07-01 4417245.2233          250.7533
2013-08-01 2817989.4562          4822872.0563
2013-09-01 4043225.038           3104673.2265
2013-10-01 4507013.4328          1140176.9216
2013-11-01 3011804.3815          2915286.6753
2013-12-01 3700623.0911          4012222.9357
2014-01-01 4113748.4968          3766224.3593
2014-02-01 1450309.6438          4006553.0949
2014-03-01 6991956.3215          4567805.9448
2014-04-01 1957626.0505          4709915.2783
2014-05-01 5120197.7123          5182856.7637
2014-06-01 51958.6941            5363023.123

(27 rows affected)


Completion time: 2022-09-13T08:58:36.2721857+05:30
