productname                                        ListPrice             ProductSubcategory                                 ProductCategory                                    PriceRank            CategoryPriceRank    CategoryPriceRankWithRank
-------------------------------------------------- --------------------- -------------------------------------------------- -------------------------------------------------- -------------------- -------------------- -------------------------
All-Purpose Bike Stand                             159.00                Bike Stands                                        Accessories                                        192                  1                    1
Touring-Panniers, Large                            125.00                Panniers                                           Accessories                                        194                  2                    2
Hitch Rack - 4-Bike                                120.00                Bike Racks                                         Accessories                                        200                  3                    3
Hydration Pack - 70 oz.                            54.99                 Hydration Packs                                    Accessories                                        234                  4                    4
Headlights - Weatherproof                          44.99                 Lights                                             Accessories                                        248                  5                    5
HL Mountain Tire                                   35.00                 Tires and Tubes                                    Accessories                                        259                  6                    6
Headlights - Dual-Beam                             34.99                 Lights                                             Accessories                                        260                  7                    7
Sport-100 Helmet, Blue                             34.99                 Helmets                                            Accessories                                        260                  7                    7
Sport-100 Helmet, Red                              34.99                 Helmets                                            Accessories                                        260                  7                    7
Sport-100 Helmet, Black                            34.99                 Helmets                                            Accessories                                        260                  7                    7
HL Road Tire                                       32.60                 Tires and Tubes                                    Accessories                                        265                  11                   11
ML Mountain Tire                                   29.99                 Tires and Tubes                                    Accessories                                        266                  12                   12
Touring Tire                                       28.99                 Tires and Tubes                                    Accessories                                        267                  13                   13
Cable Lock                                         25.00                 Locks                                              Accessories                                        271                  14                   14
Mountain Pump                                      24.99                 Pumps                                              Accessories                                        272                  15                   15
ML Road Tire                                       24.99                 Tires and Tubes                                    Accessories                                        272                  15                   15
LL Mountain Tire                                   24.99                 Tires and Tubes                                    Accessories                                        272                  15                   15
Fender Set - Mountain                              21.98                 Fenders                                            Accessories                                        278                  18                   18
LL Road Tire                                       21.49                 Tires and Tubes                                    Accessories                                        279                  19                   19
Minipump                                           19.99                 Pumps                                              Accessories                                        281                  20                   20
Taillights - Battery-Powered                       13.99                 Lights                                             Accessories                                        282                  21                   21
Mountain Bottle Cage                               9.99                  Bottles and Cages                                  Accessories                                        283                  22                   22
Road Bottle Cage                                   8.99                  Bottles and Cages                                  Accessories                                        286                  23                   23
Bike Wash - Dissolver                              7.95                  Cleaners                                           Accessories                                        290                  24                   24
Water Bottle - 30 oz.                              4.99                  Bottles and Cages                                  Accessories                                        291                  25                   25
Touring Tire Tube                                  4.99                  Tires and Tubes                                    Accessories                                        291                  25                   25
Mountain Tire Tube                                 4.99                  Tires and Tubes                                    Accessories                                        291                  25                   25
Road Tire Tube                                     3.99                  Tires and Tubes                                    Accessories                                        294                  28                   28
Patch Kit/8 Patches                                2.29                  Tires and Tubes                                    Accessories                                        295                  29                   29
Road-150 Red, 62                                   3578.27               Road Bikes                                         Bikes                                              1                    1                    1
Road-150 Red, 44                                   3578.27               Road Bikes                                         Bikes                                              1                    1                    1
Road-150 Red, 48                                   3578.27               Road Bikes                                         Bikes                                              1                    1                    1
Road-150 Red, 52                                   3578.27               Road Bikes                                         Bikes                                              1                    1                    1
Road-150 Red, 56                                   3578.27               Road Bikes                                         Bikes                                              1                    1                    1
Mountain-100 Silver, 38                            3399.99               Mountain Bikes                                     Bikes                                              6                    6                    6
Mountain-100 Silver, 42                            3399.99               Mountain Bikes                                     Bikes                                              6                    6                    6
Mountain-100 Silver, 44                            3399.99               Mountain Bikes                                     Bikes                                              6                    6                    6
Mountain-100 Silver, 48                            3399.99               Mountain Bikes                                     Bikes                                              6                    6                    6
Mountain-100 Black, 38                             3374.99               Mountain Bikes                                     Bikes                                              10                   10                   10
