productname                                        ListPrice             ProductSubcategory                                 ProductCategory                                    PriceRank            CategoryPriceRankRN  CategoryPriceRankR   CategoryPriceRankDR  Top5PriceInCategory
-------------------------------------------------- --------------------- -------------------------------------------------- -------------------------------------------------- -------------------- -------------------- -------------------- -------------------- -------------------
All-Purpose Bike Stand                             159.00                Bike Stands                                        Accessories                                        192                  1                    1                    1                    YES
Touring-Panniers, Large                            125.00                Panniers                                           Accessories                                        194                  2                    2                    2                    YES
Hitch Rack - 4-Bike                                120.00                Bike Racks                                         Accessories                                        200                  3                    3                    3                    YES
Hydration Pack - 70 oz.                            54.99                 Hydration Packs                                    Accessories                                        234                  4                    4                    4                    YES
Headlights - Weatherproof                          44.99                 Lights                                             Accessories                                        248                  5                    5                    5                    YES
HL Mountain Tire                                   35.00                 Tires and Tubes                                    Accessories                                        259                  6                    6                    6                    NO
Headlights - Dual-Beam                             34.99                 Lights                                             Accessories                                        260                  7                    7                    7                    NO
Sport-100 Helmet, Blue                             34.99                 Helmets                                            Accessories                                        260                  8                    7                    7                    NO
Sport-100 Helmet, Red                              34.99                 Helmets                                            Accessories                                        260                  9                    7                    7                    NO
Sport-100 Helmet, Black                            34.99                 Helmets                                            Accessories                                        260                  10                   7                    7                    NO
HL Road Tire                                       32.60                 Tires and Tubes                                    Accessories                                        265                  11                   11                   8                    NO
ML Mountain Tire                                   29.99                 Tires and Tubes                                    Accessories                                        266                  12                   12                   9                    NO
Touring Tire                                       28.99                 Tires and Tubes                                    Accessories                                        267                  13                   13                   10                   NO
Cable Lock                                         25.00                 Locks                                              Accessories                                        271                  14                   14                   11                   NO
Mountain Pump                                      24.99                 Pumps                                              Accessories                                        272                  15                   15                   12                   NO
ML Road Tire                                       24.99                 Tires and Tubes                                    Accessories                                        272                  16                   15                   12                   NO
LL Mountain Tire                                   24.99                 Tires and Tubes                                    Accessories                                        272                  17                   15                   12                   NO
Fender Set - Mountain                              21.98                 Fenders                                            Accessories                                        278                  18                   18                   13                   NO
LL Road Tire                                       21.49                 Tires and Tubes                                    Accessories                                        279                  19                   19                   14                   NO
Minipump                                           19.99                 Pumps                                              Accessories                                        281                  20                   20                   15                   NO
Taillights - Battery-Powered                       13.99                 Lights                                             Accessories                                        282                  21                   21                   16                   NO
Mountain Bottle Cage                               9.99                  Bottles and Cages                                  Accessories                                        283                  22                   22                   17                   NO
Road Bottle Cage                                   8.99                  Bottles and Cages                                  Accessories                                        286                  23                   23                   18                   NO
Bike Wash - Dissolver                              7.95                  Cleaners                                           Accessories                                        290                  24                   24                   19                   NO
