productname                                        ListPrice             ProductSubcategory                                 ProductCategory
-------------------------------------------------- --------------------- -------------------------------------------------- --------------------------------------------------
HL Road Frame - Black, 58                          1431.50               Road Frames                                        Components
HL Road Frame - Red, 58                            1431.50               Road Frames                                        Components
Sport-100 Helmet, Red                              34.99                 Helmets                                            Accessories
Sport-100 Helmet, Black                            34.99                 Helmets                                            Accessories
Mountain Bike Socks, M                             9.50                  Socks                                              Clothing
Mountain Bike Socks, L                             9.50                  Socks                                              Clothing
Sport-100 Helmet, Blue                             34.99                 Helmets                                            Accessories
AWC Logo Cap                                       8.99                  Caps                                               Clothing
Long-Sleeve Logo Jersey, S                         49.99                 Jerseys                                            Clothing
Long-Sleeve Logo Jersey, M                         49.99                 Jerseys                                            Clothing
Long-Sleeve Logo Jersey, L                         49.99                 Jerseys                                            Clothing
Long-Sleeve Logo Jersey, XL                        49.99                 Jerseys                                            Clothing
HL Road Frame - Red, 62                            1431.50               Road Frames                                        Components
HL Road Frame - Red, 44                            1431.50               Road Frames                                        Components
HL Road Frame - Red, 48                            1431.50               Road Frames                                        Components
HL Road Frame - Red, 52                            1431.50               Road Frames                                        Components
HL Road Frame - Red, 56                            1431.50               Road Frames                                        Components
LL Road Frame - Black, 58                          337.22                Road Frames                                        Components
LL Road Frame - Black, 60                          337.22                Road Frames                                        Components
LL Road Frame - Black, 62                          337.22                Road Frames                                        Components
LL Road Frame - Red, 44                            337.22                Road Frames                                        Components
LL Road Frame - Red, 48                            337.22                Road Frames                                        Components
LL Road Frame - Red, 52                            337.22                Road Frames                                        Components
LL Road Frame - Red, 58                            337.22                Road Frames                                        Components
LL Road Frame - Red, 60                            337.22                Road Frames                                        Components
LL Road Frame - Red, 62                            337.22                Road Frames                                        Components
ML Road Frame - Red, 44                            594.83                Road Frames                                        Components
ML Road Frame - Red, 48                            594.83                Road Frames                                        Components
ML Road Frame - Red, 52                            594.83                Road Frames                                        Components
ML Road Frame - Red, 58                            594.83                Road Frames                                        Components
ML Road Frame - Red, 60                            594.83                Road Frames                                        Components
LL Road Frame - Black, 44                          337.22                Road Frames                                        Components
LL Road Frame - Black, 48                          337.22                Road Frames                                        Components
LL Road Frame - Black, 52                          337.22                Road Frames                                        Components
HL Mountain Frame - Silver, 42                     1364.50               Mountain Frames                                    Components
HL Mountain Frame - Silver, 44                     1364.50               Mountain Frames                                    Components
HL Mountain Frame - Silver, 48                     1364.50               Mountain Frames                                    Components
HL Mountain Frame - Silver, 46                     1364.50               Mountain Frames                                    Components
HL Mountain Frame - Black, 42                      1349.60               Mountain Frames                                    Components
HL Mountain Frame - Black, 44                      1349.60               Mountain Frames                                    Components
HL Mountain Frame - Black, 48                      1349.60               Mountain Frames                                    Components
HL Mountain Frame - Black, 46                      1349.60               Mountain Frames                                    Components
HL Mountain Frame - Black, 38                      1349.60               Mountain Frames                                    Components
HL Mountain Frame - Silver, 38                     1364.50               Mountain Frames                                    Components
Road-150 Red, 62                                   3578.27               Road Bikes                                         Bikes
Road-150 Red, 44                                   3578.27               Road Bikes                                         Bikes
Road-150 Red, 48                                   3578.27               Road Bikes                                         Bikes
Road-150 Red, 52                                   3578.27               Road Bikes                                         Bikes
Road-150 Red, 56                                   3578.27               Road Bikes                                         Bikes
Road-450 Red, 58                                   1457.99               Road Bikes                                         Bikes
Road-450 Red, 60                                   1457.99               Road Bikes                                         Bikes
Road-450 Red, 44                                   1457.99               Road Bikes                                         Bikes
Road-450 Red, 48                                   1457.99               Road Bikes                                         Bikes
Road-450 Red, 52                                   1457.99               Road Bikes                                         Bikes
Road-650 Red, 58                                   782.99                Road Bikes                                         Bikes
Road-650 Red, 60                                   782.99                Road Bikes                                         Bikes
Road-650 Red, 62                                   782.99                Road Bikes                                         Bikes
Road-650 Red, 44                                   782.99                Road Bikes                                         Bikes
Road-650 Red, 48                                   782.99                Road Bikes                                         Bikes
Road-650 Red, 52                                   782.99                Road Bikes                                         Bikes
Road-650 Black, 58                                 782.99                Road Bikes                                         Bikes
Road-650 Black, 60                                 782.99                Road Bikes                                         Bikes
Road-650 Black, 62                                 782.99                Road Bikes                                         Bikes
Road-650 Black, 44                                 782.99                Road Bikes                                         Bikes
Road-650 Black, 48                                 782.99                Road Bikes                                         Bikes
Road-650 Black, 52                                 782.99                Road Bikes                                         Bikes
Mountain-100 Silver, 38                            3399.99               Mountain Bikes                                     Bikes
Mountain-100 Silver, 42                            3399.99               Mountain Bikes                                     Bikes
Mountain-100 Silver, 44                            3399.99               Mountain Bikes                                     Bikes
Mountain-100 Silver, 48                            3399.99               Mountain Bikes                                     Bikes
Mountain-100 Black, 38                             3374.99               Mountain Bikes                                     Bikes
Mountain-100 Black, 42                             3374.99               Mountain Bikes                                     Bikes
Mountain-100 Black, 44                             3374.99               Mountain Bikes                                     Bikes
Mountain-100 Black, 48                             3374.99               Mountain Bikes                                     Bikes
Mountain-200 Silver, 38                            2319.99               Mountain Bikes                                     Bikes
Mountain-200 Silver, 42                            2319.99               Mountain Bikes                                     Bikes
Mountain-200 Silver, 46                            2319.99               Mountain Bikes                                     Bikes
Mountain-200 Black, 38                             2294.99               Mountain Bikes                                     Bikes
Mountain-200 Black, 42                             2294.99               Mountain Bikes                                     Bikes
Mountain-200 Black, 46                             2294.99               Mountain Bikes                                     Bikes
Mountain-300 Black, 38                             1079.99               Mountain Bikes                                     Bikes
Mountain-300 Black, 40                             1079.99               Mountain Bikes                                     Bikes
Mountain-300 Black, 44                             1079.99               Mountain Bikes                                     Bikes
Mountain-300 Black, 48                             1079.99               Mountain Bikes                                     Bikes
Road-250 Red, 44                                   2443.35               Road Bikes                                         Bikes
Road-250 Red, 48                                   2443.35               Road Bikes                                         Bikes
Road-250 Red, 52                                   2443.35               Road Bikes                                         Bikes
Road-250 Red, 58                                   2443.35               Road Bikes                                         Bikes
Road-250 Black, 44                                 2443.35               Road Bikes                                         Bikes
Road-250 Black, 48                                 2443.35               Road Bikes                                         Bikes
Road-250 Black, 52                                 2443.35               Road Bikes                                         Bikes
Road-250 Black, 58                                 2443.35               Road Bikes                                         Bikes
Road-550-W Yellow, 38                              1120.49               Road Bikes                                         Bikes
Road-550-W Yellow, 40                              1120.49               Road Bikes                                         Bikes
Road-550-W Yellow, 42                              1120.49               Road Bikes                                         Bikes
Road-550-W Yellow, 44                              1120.49               Road Bikes                                         Bikes
Road-550-W Yellow, 48                              1120.49               Road Bikes                                         Bikes
LL Fork                                            148.22                Forks                                              Components
ML Fork                                            175.49                Forks                                              Components
HL Fork                                            229.49                Forks                                              Components
LL Headset                                         34.20                 Headsets                                           Components
ML Headset                                         102.29                Headsets                                           Components
HL Headset                                         124.73                Headsets                                           Components
LL Mountain Handlebars                             44.54                 Handlebars                                         Components
ML Mountain Handlebars                             61.92                 Handlebars                                         Components
HL Mountain Handlebars                             120.27                Handlebars                                         Components
LL Road Handlebars                                 44.54                 Handlebars                                         Components
ML Road Handlebars                                 61.92                 Handlebars                                         Components
HL Road Handlebars                                 120.27                Handlebars                                         Components
